Bill_Id,Bill_Title,Bill_Type,Parliamentary_Year,Term,Standing_Committee,Sponsor_Count,Party_Diversity,Parties,Sponsors
"The Pakistan Citizenship (Amendment) Bill, 2022
[S_5_15","The Pakistan Citizenship (Amendment) Bill, 2022
[Support]",Private,5,15,Not Applicable,2,1,PPPP,Qadir Khan Mandokhail;Qadir Khan Mandokhail
"The Criminal Laws (Amendment) Bill, 2017 (Section _5_14","The Criminal Laws (Amendment) Bill, 2017 (Section 510)
[Support]",Private,5,14,Not Applicable,2,1,PPPP,Syed Naveed Qammar;Syed Naveed Qammar
"The Criminal Laws (Amendment) Bill, 2018 (Section _5_14","The Criminal Laws (Amendment) Bill, 2018 (Section 325)
[Support]",Private,5,14,Not Applicable,2,1,PPPP,Syed Naveed Qammar;Syed Naveed Qammar
"The Pakistan Bait-ul-Mal (Amendment) Bill, 2021
[S_3_15","The Pakistan Bait-ul-Mal (Amendment) Bill, 2021
[Support]",Government,3,15,Not Applicable,2,1,PTI,Zaheer-ud-Din Babar Awan;Zaheer-ud-Din Babar Awan
"The Criminal Laws (Amendment) Bill, 2020_4_15","The Criminal Laws (Amendment) Bill, 2020",Private,4,15,Not Applicable,2,2,MMA;PML-N,Moulana Abdul Akbar Chitrali;Mehnaz Akber Aziz
"The Criminal Laws (Amendment) Bill, 2020
[Support]_4_15","The Criminal Laws (Amendment) Bill, 2020
[Support]",Private,4,15,Interior and Narcotics Control,2,1,MMA,Moulana Abdul Akbar Chitrali;James Iqbal
"The Pakistan Land Port Authority Bill, 2024
[Suppo_1_16","The Pakistan Land Port Authority Bill, 2024
[Support]",Government,1,16,Not Applicable,2,1,IND,Syed Mohsin Raza Naqvi;Syed Mohsin Raza Naqvi
"The Federal Urdu University of Arts, Sciences and _5_15","The Federal Urdu University of Arts, Sciences and Technology, Islamabad (Amendment) Bill, 2022
[Support]",Private,5,15,Not Applicable,2,1,MMA,Mrs. Aliya Kamran;Muhammad Jamal Ud Din
"The Federal Urdu University of Arts, Sciences and _5_15","The Federal Urdu University of Arts, Sciences and Technology, Islamabad (Amendment) Bill, 2023
[Support]",Private,5,15,Not Applicable,2,1,MMA,Mrs. Aliya Kamran;Muhammad Jamal Ud Din
"The NCS-Institute of Sciences Bill, 2020
[Support]_3_15","The NCS-Institute of Sciences Bill, 2020
[Support]",Private,3,15,Not Applicable,2,1,MMA,James Iqbal;James Iqbal
The Pakistan Environmental Protection (Amendment) _4_15,"The Pakistan Environmental Protection (Amendment) Bill, 2022
[Support]",Private,4,15,Not Applicable,2,1,PPPP,Mrs. Shahida Rehmani;Mrs. Shahida Rehmani
The Pakistan Environmental Protection (Amendment) _1_16,"The Pakistan Environmental Protection (Amendment) Bill, 2025
[Support]",Private,1,16,Not Applicable,2,1,PPPP,Shahida Rehmani;Shahida Rehmani
"The Criminal Law (Amendment) Bill, 2014
[Support]_3_14","The Criminal Law (Amendment) Bill, 2014
[Support]",Private,3,14,Not Applicable,2,1,PML-N,Shaista Pervaiz;Shaista Pervaiz
"The Criminal Law (Amendment) Bill, 2014 (Insertion_2_14","The Criminal Law (Amendment) Bill, 2014 (Insertion of new section 297-A and amendment in the second schedule)
[Support]",Private,2,14,Interior and Narcotics Control,2,1,JUI,Shahida Akhtar Ali;Mrs. Aliya Kamran
"The Pakistan Global Institute Bill, 2022
[Support]_5_15","The Pakistan Global Institute Bill, 2022
[Support]",Government,5,15,Not Applicable,2,1,PML-N,Rana Tanveer Hussain;Rana Tanveer Hussain
"The Criminal Law (Amendment) Bill, 2014], (Amendme_1_14","The Criminal Law (Amendment) Bill, 2014], (Amendment in section 82, Omission of section 83, insertion of new sections 292A, 292B, 292C, 328A, 369A, 377A and 377B)
[Support]",Private,1,14,Interior and Narcotics Control,2,1,PML-N,Leila Khan;Marvi Memon
"The Criminal Law (Amendment) Bill, 2015_3_14","The Criminal Law (Amendment) Bill, 2015",Government,3,14,Not Applicable,2,1,PML-N,Pervaiz Rashid;Khawaja Muhammad Asif
"The Criminal Law (Amendment) Bill, 2015
[Support]_2_14","The Criminal Law (Amendment) Bill, 2015
[Support]",Government,2,14,Not Applicable,2,1,PML-N,Pervaiz Rashid;Pervaiz Rashid
The Pakistan Electronic Media Regulatory Authority_3_15,"The Pakistan Electronic Media Regulatory Authority (Amendment) Bill, 2020
[Support]",Private,3,15,Not Applicable,2,1,PTI,Uzma Riaz;Uzma Riaz
The Pakistan Electronic Media Regulatory Authority_5_15,"The Pakistan Electronic Media Regulatory Authority (Amendment) Bill, 2023",Government,5,15,Not Applicable,2,1,PML-N,Marriyum Aurangzeb;Marriyum Aurangzeb
The Pakistan Electronic Media Regulatory Authority_1_16,"The Pakistan Electronic Media Regulatory Authority (Amendment) Bill, 2024
[Support]",Private,1,16,Not Applicable,2,1,PML-N,Asia Naz Tanoli;Asia Naz Tanoli
The Pakistan Council of Research in Water Resource_4_15,"The Pakistan Council of Research in Water Resources (Amendment) Ordinance, 2021 (XIX of 2021)
[Support]",Government,4,15,Not Applicable,2,1,PTI,Syed Shibli Faraz;Syed Shibli Faraz
"The Pakistan Navy (Amendment) Bill, 2024
[Support]_1_16","The Pakistan Navy (Amendment) Bill, 2024
[Support]",Government,1,16,Not Applicable,2,1,PML-N,Khawaja Muhammad Asif;Khawaja Muhammad Asif
The Pakistan Nursing Council (Emergency Management_4_15,"The Pakistan Nursing Council (Emergency Management) Ordinance, 2021 (No. XXIX of 2021)
[Support]",Government,4,15,Not Applicable,2,1,PTI,Zaheer-ud-Din Babar Awan;Zaheer-ud-Din Babar Awan
"The Minorities Educational Seats Bill, 2019
[Suppo_2_15","The Minorities Educational Seats Bill, 2019
[Support]",Private,2,15,Not Applicable,2,1,MMA,James Iqbal;James Iqbal
The Modern International University of Sciences Bi_5_15,"The Modern International University of Sciences Bill, 2023
[Support]",Private,5,15,Not Applicable,2,1,PML-N,Samina Matloob;Dr. Zulfiqar Ali Bhatti
"The Modern International University of Sciences, B_5_15","The Modern International University of Sciences, Bill, 2023
[Support]",Private,5,15,Not Applicable,2,1,PML-N,Syed Javed Hassnain;Dr. Zulfiqar Ali Bhatti
"The Modern International University of Sciences, B_5_15","The Modern International University of Sciences, Bill, 2023 (II)
[Support]",Private,5,15,Not Applicable,2,1,PML-N,Syed Javed Hassnain;Dr. Zulfiqar Ali Bhatti
"The Finance Bill, 2014
[Support]_2_14","The Finance Bill, 2014
[Support]",Government,2,14,Not Applicable,2,1,PML-N,Mohammad Ishaq Dar;Mohammad Ishaq Dar
"The Muslim Family Laws (Amendment) Bill, 2021
[Sup_4_15","The Muslim Family Laws (Amendment) Bill, 2021
[Support]",Private,4,15,Not Applicable,2,1,PPPP,Mrs. Shahida Rehmani;Mrs. Shahida Rehmani
"The Muslim Family Laws (Amendment) Bill, 2022
[Sup_5_15","The Muslim Family Laws (Amendment) Bill, 2022
[Support]",Private,5,15,Not Applicable,2,2,MMA;PML-N,Moulana Abdul Akbar Chitrali;Syed Javed Hassnain
"The Corporate Rehabilitation Bill, 2015
[Support]_4_14","The Corporate Rehabilitation Bill, 2015
[Support]",Private,4,14,Not Applicable,2,1,PPPP,Dr. Azra Fazal Pecheho;Dr. Azra Fazal Pecheho
The Corrosive Substances Assault (Prevention and P_1_16,"The Corrosive Substances Assault (Prevention and Protection) Bill, 2024
[Support]",Private,1,16,Not Applicable,2,1,PPPP,Sharmila Sahiba Faruqui Hashaam;Sharmila Sahiba Faruqui Hashaam
"The Pakistan Medical and Dental Council Bill, 2022_4_15","The Pakistan Medical and Dental Council Bill, 2022",Private,4,15,Not Applicable,2,1,PPPP,Syed Rafiullah;Mrs. Mahreen Razaque Bhutto
"The Pakistan Minorities Rights Commission Bill, 20_4_14","The Pakistan Minorities Rights Commission Bill, 2016
[Support]",Private,4,14,Not Applicable,2,1,MQM,Sanjay Perwani;Sanjay Perwani
The Pakistan Infrastructure Development and Assets_1_16,"The Pakistan Infrastructure Development and Assets Management Authority Bill, 2024
[Support]",Government,1,16,Not Applicable,2,1,PML-N,Mian Riaz Hussain Pirzada;Mian Riaz Hussain Pirzada
"The Countervailing Duties Ordinance, 2015
[Support_2_14","The Countervailing Duties Ordinance, 2015
[Support]",Government,2,14,Not Applicable,2,1,PML-N,Pervaiz Rashid;Pervaiz Rashid
The Pakistan Institute of Research and Registratio_5_15,"The Pakistan Institute of Research and Registration of Quality Assurance Bill, 2022
[Support]",Private,5,15,Not Applicable,2,1,IND,Mohammad Aslam Bhootani;Mohammad Aslam Bhootani
"The Constitution (Twenty-Sixth Amendment) Bill, 20_1_15","The Constitution (Twenty-Sixth Amendment) Bill, 2019
[Support]",Private,1,15,Not Applicable,2,1,IND,Mohsin Javed;Mohsin Javed
"The Pakistan Single Window Bill, 2020
[Support]_2_15","The Pakistan Single Window Bill, 2020
[Support]",Government,2,15,Not Applicable,2,1,Minister,Dr. Abdul Hafeez Sheikh;Dr. Abdul Hafeez Sheikh
"The Loans for Agricultural, Commercial and Industr_5_14","The Loans for Agricultural, Commercial and Industrial Purposes (Amendment) Bill, 2017
[Support]",Government,5,14,Not Applicable,2,1,PML-N,Mohammad Ishaq Dar;Zahid Hamid Khan
"The Memon University Bill, 2022
[Support]_4_15","The Memon University Bill, 2022
[Support]",Private,4,15,Not Applicable,2,1,MQM,Iqbal Muhammad Ali Khan;Iqbal Muhammad Ali Khan
"The Pakistan Penal Code (Amendment) Bill, 2022
[Su_4_15","The Pakistan Penal Code (Amendment) Bill, 2022
[Support]",Private,4,15,Interior and Narcotics Control,2,1,PTI,Nafeesa Inayatullah Khan Khattak;Shandana Gulzar Khan
The Pakistan Petroleum Upstream Regulatory Authori_4_15,"The Pakistan Petroleum Upstream Regulatory Authority Bill, 2021
[Support]",Government,4,15,Not Applicable,2,1,PTI,Muhammad Hammad Azhar;Muhammad Hammad Azhar
"The Constitution (Twenty-eighth Amendment) Bill, 2_4_14","The Constitution (Twenty-eighth Amendment) Bill, 2017
[Support]",Government,4,14,Not Applicable,2,1,PML-N,Zahid Hamid Khan;Zahid Hamid Khan
The Pakistan Private Courier Services Regulatory A_2_14,"The Pakistan Private Courier Services Regulatory Authority of Pakistan Bill, 2014
[Support]",Private,2,14,Not Applicable,2,1,PPPP,Mrs. Belum Hasnain;Mrs. Belum Hasnain
The Pakistan Private Courier Services Regulatory A_2_14,"The Pakistan Private Courier Services Regulatory Authority of Pakistan Bill, 2015
[Support]",Private,2,14,Not Applicable,2,1,PPPP,Mrs. Belum Hasnain;Mrs. Belum Hasnain
"The Pakistan Psychological Council Bill, 2019
[Sup_2_15","The Pakistan Psychological Council Bill, 2019
[Support]",Private,2,15,Not Applicable,2,1,PTI,Riaz Fatyana;Riaz Fatyana
The Control of Narcotic Substances (Amendment) Bil_1_15,"The Control of Narcotic Substances (Amendment) Bill, 2019
[Support]",Private,1,15,Not Applicable,2,1,PTI,Noor Alam Khan;Noor Alam Khan
The Control of Narcotic Substances (Amendment) Bil_2_15,"The Control of Narcotic Substances (Amendment) Bill, 2020
[Support]",Government,2,15,Not Applicable,2,1,PTI,Muhammad Azam Khan Swati;Muhammad Azam Khan Swati
The Control of Narcotic Substances (Amendment) Bil_3_15,"The Control of Narcotic Substances (Amendment) Bill, 2021
[Support]",Private,3,15,Not Applicable,2,1,MMA,Syed Mehmood Shah;Syed Mehmood Shah
"The Pakistan Penal Code (Amendment) Bill, 2017 (Am_4_14","The Pakistan Penal Code (Amendment) Bill, 2017 (Amendment of sections 273, 274 and 275)
[Support]",Private,4,14,Not Applicable,2,1,JUI,Naeema Kishwar Khan;Naeema Kishwar Khan
"The Controller General of Accounts (Appointment, F_5_14","The Controller General of Accounts (Appointment, Functions and Powers) (Amendment) Bill, 2017
[Support]",Private,5,14,Not Applicable,2,1,PTI,Asad Umar;Asad Umar
The Pakistan National Shipping Corporation (Amendm_2_15,"The Pakistan National Shipping Corporation (Amendment) Bill, 2020
[Support]",Private,2,15,Not Applicable,2,1,PTI,Riaz Fatyana;Amjid Ali Khan
"The Port Qasim Authority (Amendment) Bill, 2019
[S_2_15","The Port Qasim Authority (Amendment) Bill, 2019
[Support]",Government,2,15,Not Applicable,2,1,PTI,Syed Ali Haider Zaidi;Syed Ali Haider Zaidi
The Post Office National Savings Certificates (Ame_4_15,"The Post Office National Savings Certificates (Amendment) Bill, 2021
[Support]",Government,4,15,Not Applicable,2,1,PTI,Shaukat Fayaz Ahmed Tarin;Shaukat Fayaz Ahmed Tarin
The Legal Practitioners and Bar Councils (Amendmen_5_15,"The Legal Practitioners and Bar Councils (Amendment) Bill, 2023
[Support]",Private,5,15,Not Applicable,2,1,PPPP,Qadir Khan Mandokhail;Qadir Khan Mandokhail
The Letters of Administration and Succession Certi_2_15,"The Letters of Administration and Succession Certificates Bill, 2019",Government,2,15,Not Applicable,2,2,MQM;PTI,Muhammad Farogh Nasim;Ali Muhammad Khan
The Financial Institutions (Secured Transactions) _2_15,"The Financial Institutions (Secured Transactions) (Amendment) Ordinance, 2020 (IV of 2020)
[Support]",Government,2,15,Not Applicable,2,1,Minister,Dr. Abdul Hafeez Sheikh;Dr. Abdul Hafeez Sheikh
"The Limited Liability Partnership Bill, 2016
[Supp_4_14","The Limited Liability Partnership Bill, 2016
[Support]",Government,4,14,Not Applicable,2,1,PML-N,Mohammad Ishaq Dar;Mohammad Ishaq Dar
"The Political Parties Order (Amendment) Bill, 2013_1_14","The Political Parties Order (Amendment) Bill, 2013
[Support]",Private,1,14,Not Applicable,2,1,PPPP,Dr. Azra Fazal Pecheho;Ms. Nafisa Shah
"The Political Parties Order (Amendment) Bill, 2013_1_14","The Political Parties Order (Amendment) Bill, 2013
[Support]",Private,1,14,Parliamentary Affairs,2,1,PPPP,Dr. Azra Fazal Pecheho;Ms. Nafisa Shah
"The Constitution (Amendment) Bill, 2021 (Amendment_4_15","The Constitution (Amendment) Bill, 2021 (Amendment in Articles- 175-A, 177 and 182)
[Support]",Private,4,15,Not Applicable,2,1,PPPP,Qadir Khan Mandokhail;Qadir Khan Mandokhail
"The Constitution (Amendment) Bill, 2021 (Amendment_3_15","The Constitution (Amendment) Bill, 2021 (Amendment in Article 54)
[Support]",Private,3,15,Not Applicable,2,1,IND,Mohsin Javed;Mohsin Javed
"The Constitution (Amendment) Bill, 2021 (Amendment_4_15","The Constitution (Amendment) Bill, 2021 (Amendment in Article 54)
[Support]",Private,4,15,Not Applicable,2,1,PML-N,Syed Javed Hassnain;Syed Javed Hassnain
"The Panama Papers Inquiries Bill, 2016
[Support]_4_14","The Panama Papers Inquiries Bill, 2016
[Support]",Private,4,14,Not Applicable,2,1,PPPP,Dr. Azra Fazal Pecheho;Dr. Azra Fazal Pecheho
"The Patents (Amendment) Bill, 2015
[Support]_3_14","The Patents (Amendment) Bill, 2015
[Support]",Government,3,14,Not Applicable,2,1,PML-N,Sheikh Aftab Ahmed;Usman Ibrahim
The Peaceful Assembly and Public Order (Amendment)_1_16,"The Peaceful Assembly and Public Order (Amendment) Bill, 2025
[Support]",Private,1,16,Not Applicable,2,1,SIC,Muhammad Mobeen Arif;Usama Ahmed Mela
The Pakistan Rights of Persons with Disability Bil_1_15,"The Pakistan Rights of Persons with Disability Bill, 2018
[Support]",Private,1,15,Not Applicable,2,1,PML-N,Shaista Pervaiz;Shaista Pervaiz
"The Constitution (Amendment) Bill, 2025
[Support]_1_16","The Constitution (Amendment) Bill, 2025
[Support]",Private,1,16,Not Applicable,2,1,PPPP,Naveed Amir;Naveed Amir
"The Constitution (Amendment) Bill, 2020 (Article 2_2_15","The Constitution (Amendment) Bill, 2020 (Article 223)
[Support]",Private,2,15,Not Applicable,2,1,PTI,Junaid Akbar;Junaid Akbar
"The Constitution (Amendment) Bill, 2019 (Article 4_2_15","The Constitution (Amendment) Bill, 2019 (Article 41 and 91)
[Support]",Private,2,15,Not Applicable,2,1,PPPP,Naveed Aamir;Naveed Aamir
"The Foreign Exchange Regulation (Amendment) Bill, _3_14","The Foreign Exchange Regulation (Amendment) Bill, 2014
[Support]",Government,3,14,Not Applicable,2,1,PML-N,Mohammad Ishaq Dar;Mohammad Ishaq Dar
The Legal Practitioners and Bar Councils (Amendmen_3_15,"The Legal Practitioners and Bar Councils (Amendment) Bill, 2020 (Section-5 and Schedule-II)
[Support]",Private,3,15,Not Applicable,2,1,IND,Mohsin Javed;Mohsin Javed
The Legal Practitioners and Bar Councils (Amendmen_3_15,"The Legal Practitioners and Bar Councils (Amendment) Bill, 2020 (section-5 and Schedule)
[Support]",Private,3,15,Not Applicable,2,2,IND;PTI,Sher Akbar Khan;Mohsin Javed
The Legal Practitioners and Bar Councils (Amendmen_5_15,"The Legal Practitioners and Bar Councils (Amendment) Bill, 2021",Private,5,15,Not Applicable,2,2,IND;PPPP,Mohsin Javed;Ms. Nafisa Shah
The Legal Practitioners and Bar Councils (Amendmen_4_15,"The Legal Practitioners and Bar Councils (Amendment) Bill, 2021
[Support]",Private,4,15,Not Applicable,2,1,PPPP,Qadir Khan Mandokhail;Qadir Khan Mandokhail
"The Pre-Legislative Consultation Bill, 2021
[Suppo_4_15","The Pre-Legislative Consultation Bill, 2021
[Support]",Private,4,15,Not Applicable,2,1,PML-N,Ali Gohar Khan;Ali Gohar Khan
"The Constitution (Amendment) Bill, 2020 (Article 5_2_15","The Constitution (Amendment) Bill, 2020 (Article 51)
[Support]",Private,2,15,Not Applicable,2,1,PTI,Junaid Akbar;Junaid Akbar
"The Constitution (Amendment) Bill, 2020 (Insertion_3_15","The Constitution (Amendment) Bill, 2020 (Insertion of Article-34A)
[Support]",Private,3,15,Not Applicable,2,1,PML-N,Syed Javed Hassnain;Syed Javed Hassnain
"The Constitution (Amendment) Bill, 2020 (Insertion_3_15","The Constitution (Amendment) Bill, 2020 (Insertion of Article-35A)
[Support]",Private,3,15,Not Applicable,2,1,PTI,Nafeesa Inayatullah Khan Khattak;Nafeesa Inayatullah Khan Khattak
"The Constitution (Amendment) Bill, 2020] (Amendmen_5_15","The Constitution (Amendment) Bill, 2020] (Amendment in Article-25)
[Support]",Private,5,15,Not Applicable,2,1,PPPP,Ms. Nafisa Shah;Ms. Nafisa Shah
"The Constitution (Amendment) Bill, 2021 (Amendment_4_15","The Constitution (Amendment) Bill, 2021 (Amendment in Article 51 and 59)
[Support]",Private,4,15,Not Applicable,2,1,MQM,Kishwer Zehra;Kishwer Zehra
"The Constitution (Amendment) Bill, 2021 (Amendment_3_15","The Constitution (Amendment) Bill, 2021 (Amendment in Article- 37)
[Support]",Private,3,15,Not Applicable,2,1,PML-N,Kesoo Mal Kheeal Das;Kesoo Mal Kheeal Das
"The Constitution (Amendment) Bill, 2021 (Amendment_4_15","The Constitution (Amendment) Bill, 2021 (Amendment in Article-84)
[Support]",Private,4,15,Not Applicable,2,1,PPPP,Syed Hussain Tariq;Syed Hussain Tariq
"The Constitution (Amendment) Bill, 2021 (Amendment_3_15","The Constitution (Amendment) Bill, 2021 (Amendment in Articles- 1,51and106)
[Support]",Private,3,15,Not Applicable,2,1,IND,Mohsin Javed;Mohsin Javed
The Prevention of Drugs in Educational Institution_5_14,"The Prevention of Drugs in Educational Institutions Bill, 2018
[Support]",Private,5,14,Not Applicable,2,1,PPPP,Mrs. Shahida Rehmani;Mrs. Shahida Rehmani
"The Prevention of Electronic Crimes Bill, 2015
[Su_3_14","The Prevention of Electronic Crimes Bill, 2015
[Support]",Government,3,14,Not Applicable,2,1,PML-N,Anusha Rahman Ahmad Khan;Anusha Rahman Ahmad Khan
"The Prevention of Electronic Crimes Bill, 2016
[Su_4_14","The Prevention of Electronic Crimes Bill, 2016
[Support]",Government,4,14,Not Applicable,2,1,PML-N,Anusha Rahman Ahmad Khan;Anusha Rahman Ahmad Khan
"The Prevention of Electronic Crimes Bill, 2021
[Su_4_15","The Prevention of Electronic Crimes Bill, 2021
[Support]",Private,4,15,Not Applicable,2,1,PTI,Muhammad Aslam Khan;Muhammad Aslam Khan
